id;cliente;sexo;nascimento;endereco;bairro;cidade;estado;email;telefone
219;Ignacio Stephenson;m;17/05/1999;166 Prince Street;Hassan;Maybeury;AY;dimensio@comcast.net;
220;Casey Collier;m;12/03/1951;8249 Sage Ave.;Chitradurga;Lynchburg;RO;singh@live.com;
221;Brock Conley;m;18/05/1946;5 Laurel St.;Mysuru (Mysore);New Eucha;AR;mwandel@me.com;(563) 834-6411
222;Mia Yu;f;11/05/1943;612 Rockledge St.;Hassan;Maybeury;TK;sisyphus@comcast.net;
223;Sage Hawkins;f;10/04/1947;47 Pine St.;Kodagu;Maybeury;TK;;(491) 707-8065
224;Jakayla Bowers;f;08/09/1946;675 Mulberry Dr.;Ballari (Bellary);Maybeury;AY;gommix@hotmail.com;
225;Yesenia Peterson;f;10/11/1983;1 Logan Ave.;Koppal;Avis;TK;denism@optonline.net;(741) 271-9107
226;Keyla Campbell;f;04/03/1945;69 Longbranch Avenue;Vijayapura (Bijapur);Avis;NR;kevinm@yahoo.ca;
227;Zion Campos;f;09/07/1991;901 Acacia Street;Yadgir;Avis;NR;liedra@icloud.com;
228;Jayden Yates;m;24/10/1944;7144 Glenridge Drive;Kalaburagi (Gulbarga);Black Springs;RO;stakasa@mac.com;
229;Helena Todd;f;10/12/1977;46 Del Monte Dr.;Chikkamagaluru (Chikmagalur);Avis;NR;murty@comcast.net;(750) 483-3686
230;Belinda Richard;f;27/11/1944;760 Corona Dr.;Shivamogga (Shimoga);Maybeury;AY;jhardin@hotmail.com;(802) 405-7765
231;Taylor Blevins;m;13/12/1954;2 East Livingston Ave.;Dharwad;Lynchburg;RO;jsbach@comcast.net;
232;Ayanna Mann;f;30/09/1983;7274 Ridge Drive;Tumakuru (Tumkur);Avis;NR;jguyer@outlook.com;
233;Maddox Solis;m;15/09/1952;967 Dunbar St.;Chikballapur;Lynchburg;RO;sjmuir@mac.com;(588) 685-0008
234;Damon Krueger;m;11/05/1967;21 Jockey Hollow St.;Uttara Kannada (Karwar);Black Springs;AY;wildfire@hotmail.com;
235;Jamar Mcgrath;m;26/11/1968;886 Rockville Drive;Dakshina Kannada;Lynchburg;RO;tsuruta@att.net;
236;Lyric Mills;f;19/06/1953;912 Vernon St.;Mandya;Avis;TK;crusader@me.com;(685) 391-3652
237;Kristen Mitchell;f;27/10/1987;7 W. Glen Ridge Drive;Chitradurga;Maybeury;AY;jeffcovey@outlook.com;
238;Deja Buck;f;10/06/1960;8392 Forest Court;Bengaluru (Bangalore) Rural;Maybeury;AY;clkao@msn.com;(228) 789-9547
239;Joshua Greer;m;25/09/1960;8132 Somerset Dr.;Ballari (Bellary);New Eucha;AR;rfisher@mac.com;(659) 247-4768
240;Brooklynn Hardin;f;07/09/1942;9506 S. Philmont Street;Chamarajanagar;Maybeury;AY;mnemonic@outlook.com;(967) 799-7333
241;Adelaide Caldwell;f;12/10/1958;7795 Miller St.;Udupi;Maybeury;AY;lahvak@gmail.com;(646) 254-4497
242;Dale Fowler;m;09/02/1966;7342 Lake Ave.;Dharwad;Black Springs;RO;horrocks@outlook.com;
243;Yareli Kirk;f;16/01/1970;7781 South West Street;Raichur;Maybeury;AY;sburke@me.com;(877) 930-5155
244;Sienna Waters;f;23/10/1958;94 Cedar Swamp Street;Bengaluru (Bangalore) Rural;Maybeury;AY;loscar@verizon.net;(760) 770-7882
245;Adriel Skinner;m;23/03/1963;7439 Oakland Drive;Dharwad;New Eucha;RO;;(678) 262-6135
246;Macy Ortega;f;19/06/1963;10 Brown St.;Gadag;Avis;TK;pierce@msn.com;
247;Mateo Tanner;m;08/02/1955;7489 Charles Street;Ballari (Bellary);New Eucha;AR;dbrobins@yahoo.ca;(824) 307-2547
248;Urijah Foster;m;25/09/1958;83 Kirkland Lane;Koppal;Avis;AR;sartak@att.net;(715) 344-0022
249;Genevieve Jordan;f;16/06/1953;9508 Rose Street;Chikballapur;Maybeury;AY;telbij@me.com;(229) 336-0407
250;Johnny Sellers;m;02/12/1989;7865 Oakwood St.;Dharwad;Lynchburg;RO;mrsam@msn.com;(438) 383-9490
251;Clinton Prince;m;31/07/1984;253 Winchester St.;Belagavi (Belgaum);Lynchburg;RO;kimvette@yahoo.ca;(210) 358-4373
252;Mollie Collins;f;04/08/1943;9404 Hanover St.;Dakshina Kannada;Maybeury;AY;zyghom@live.com;(342) 947-3145
253;Zion Santiago;m;17/02/1979;9211 Prairie St.;Mandya;Lynchburg;RO;crypt@me.com;(294) 799-2315
254;Julianna Welch;f;06/01/1989;41 Ridge Street;Chikballapur;Maybeury;TK;daveed@msn.com;
255;Mira Lester;f;18/02/2000;58 Bay Lane;Gadag;Avis;NR;kiddailey@live.com;(233) 319-4118
256;Karina Johns;f;27/12/1959;7298 Gulf St.;Ballari (Bellary);Avis;NR;jcholewa@mac.com;
257;Rayne Mcmillan;f;29/03/1997;8 Manor Dr.;Ballari (Bellary);Lynchburg;NR;kempsonc@sbcglobal.net;(226) 943-7797
258;Kali Carey;f;19/01/1990;56 Kingston Avenue;Chikkamagaluru (Chikmagalur);Maybeury;TK;iamcal@optonline.net;
259;Jamie Keller;f;17/07/1981;459 Sunbeam Dr.;Bidar;Maybeury;TK;caidaperl@sbcglobal.net;(767) 398-5636
260;Lily Guzman;f;09/03/1984;9806 Beechwood St.;Hassan;Avis;TK;lamky@optonline.net;(388) 375-6761
261;Camila Erickson;f;16/10/1967;31 Foster Street;Uttara Kannada (Karwar);New Eucha;TK;eegsa@hotmail.com;
262;Abbie Tanner;f;13/07/1944;559 E. Albany Ave.;Chamarajanagar;Maybeury;TK;sequin@yahoo.com;
263;Kane Potter;m;16/11/1971;33 West Locust Road;Bidar;Black Springs;RO;matty@msn.com;
264;Audrey Everett;f;07/04/1979;830 Rockledge St.;Chikballapur;Lynchburg;NR;sharon@yahoo.ca;(860) 395-1358
265;Markus Roy;m;19/10/1951;21 State Lane;Belagavi (Belgaum);Black Springs;AY;martyloo@outlook.com;
266;Mya Ramsey;f;02/07/1942;8072 53rd Rd.;Kodagu;Lynchburg;NR;ilial@msn.com;(605) 642-8188
267;Dangelo Kirby;m;27/06/1999;806 SE. Arcadia Street;Bagalkot;Lynchburg;RO;;(922) 705-1269
268;Johnathon Tate;m;03/10/1949;4 West Military St.;Haveri;Black Springs;RO;metzzo@sbcglobal.net;
269;Aidyn Wu;m;16/10/1973;7589 Franklin St.;Raichur;New Eucha;AR;metzzo@outlook.com;(336) 434-8080
270;Brennan Scott;m;24/06/1999;199 Newbridge Lane;Davangere;Avis;AY;adamk@verizon.net;(425) 763-8872
271;Angelo Wang;m;;328 Edgemont St.;Koppal;Black Springs;RO;fukuchi@me.com;
272;Isabell Farley;f;29/08/1991;82 Summer St.;Kalaburagi (Gulbarga);Maybeury;AY;uraeus@mac.com;(583) 640-8149
273;Hannah Blake;f;12/04/1949;8020 Madison St.;Dharwad;Maybeury;AY;parkes@optonline.net;(824) 326-6070
274;Alyson Gutierrez;f;01/06/1974;8823 Pennington Avenue;Bengaluru (Bangalore) Rural;Avis;NR;madanm@outlook.com;
275;Jaydin Wiggins;m;09/03/1969;28 Division Drive;Uttara Kannada (Karwar);Lynchburg;RO;frikazoyd@me.com;
276;Carson Armstrong;m;24/02/1953;779 Valley Drive;Yadgir;Lynchburg;RO;seebs@hotmail.com;(930) 779-2003
277;Sloane Matthews;f;23/05/1963;77 NW. Beach St.;Uttara Kannada (Karwar);Avis;NR;dleconte@aol.com;(907) 437-3309
278;Marcus Logan;m;16/08/1961;660 Courtland St.;Chitradurga;New Eucha;AR;lridener@yahoo.ca;
279;Helena Greer;f;02/06/1976;689 N. Ivy Street;Haveri;Maybeury;AY;papathan@outlook.com;
280;Abraham Diaz;m;18/10/2001;340 Littleton St.;Haveri;Black Springs;RO;shazow@att.net;
281;Hugo Shannon;m;07/08/1971;183 Fordham Court;Udupi;Lynchburg;RO;mhouston@optonline.net;(226) 413-3043
282;America Duke;f;20/09/1947;9073 Vermont Ave.;Chikballapur;Maybeury;AY;barnett@icloud.com;(885) 290-6618
283;Darren Brandt;m;27/10/2000;828 W. Smith Rd.;Hassan;Lynchburg;RO;citadel@verizon.net;
284;Pedro Friedman;;31/01/1959;8588 Theatre St.;Bagalkot;Lynchburg;RO;nighthawk@live.com;(645) 297-5860
285;Anna Haynes;f;27/06/1991;9609 Glenridge Road;Chamarajanagar;Avis;TK;gfxguy@live.com;(392) 237-6537
286;Iliana Pace;f;01/05/1967;60 W. Roberts St.;Ballari (Bellary);Maybeury;TK;nweaver@me.com;
287;Ryan Hansen;f;29/02/1972;92 Olive Street;Chitradurga;Maybeury;AY;arebenti@outlook.com;(230) 521-8723
288;Kendra Dorsey;f;11/07/1995;40 Chestnut Street;Vijayapura (Bijapur);Maybeury;TK;cameron@me.com;
289;Kiara Bright;f;07/02/1953;7226 West High Ridge Ave.;Udupi;Maybeury;AY;;
290;Semaj Mills;m;26/11/1945;6 Woodsman Street;Dakshina Kannada;New Eucha;AR;;
291;Kyleigh Harper;f;24/11/1951;8604 Littleton St.;Chitradurga;Avis;NR;;(970) 553-7290
292;Lawrence Roberson;m;21/08/1981;7909 Highland Street;Ramanagara;Lynchburg;RO;;(536) 632-6759
293;Myla Atkinson;f;28/08/1992;8966 Oak Meadow Rd.;Bengaluru (Bangalore) Urban;Avis;NR;;(231) 983-4884
294;Conrad Houston;m;29/01/1972;497 Silver Spear Ave.;Koppal;New Eucha;AR;;(235) 755-0588
295;Gideon Kidd;m;07/05/1982;84 Manor St.;Ramanagara;Lynchburg;RO;;(351) 662-9670
296;Natalie Kent;f;03/06/1977;47C Pendergast Drive;Raichur;Maybeury;TK;;
297;Lena Calderon;;02/11/1968;160 Wagon St.;Mandya;Avis;TK;;
298;Azaria Horton;f;09/03/1987;781 East Hall Street;Ballari (Bellary);Maybeury;AY;;(410) 780-5075
299;Alanna Petty;f;27/05/1979;9008 Marconi St.;Uttara Kannada (Karwar);Avis;NR;;
300;Trey Yoder;m;15/07/1989;7817 S. Spring St.;Chikkamagaluru (Chikmagalur);Lynchburg;RO;;(475) 606-5315
301;Brogan Thompson;;14/10/1981;25 Marshall Street;Dharwad;Black Springs;AY;;
302;Jennifer Carrillo;f;16/04/1949;971 Hamilton St.;Vijayapura (Bijapur);Avis;TK;;(867) 864-7170
303;Leonel Spencer;m;13/04/1972;16 North Willow Drive;Uttara Kannada (Karwar);Lynchburg;RO;;
304;Deanna Cain;f;08/10/1946;9145 Arch Court;Tumakuru (Tumkur);Maybeury;AY;;(677) 677-8031
305;Denzel Suarez;m;25/06/1984;368 Highland St.;Chamarajanagar;Black Springs;RO;;(777) 700-9865
306;Zoie Escobar;f;23/10/1975;7430 Eagle Dr.;Ballari (Bellary);Avis;NR;;(867) 869-3519
307;Fabian Murillo;m;17/04/1990;23 Fairview Court;Mysuru (Mysore);Black Springs;AY;;(690) 799-1396
308;Skyla Harrington;f;07/06/1983;960 Santa Clara Street;Bidar;Avis;TK;;(293) 506-4852
309;Sophia Thompson;f;10/09/1992;8855 Griffin Lane;Chikballapur;Avis;NR;;
310;Aliana Mora;f;07/09/1995;168 Parker Drive;Ballari (Bellary);New Eucha;TK;ajlitt@verizon.net;
311;Shyanne Werner;f;01/08/1941;448 Schoolhouse Rd.;Uttara Kannada (Karwar);Avis;NR;;(309) 855-3910
312;Janiyah Cordova;f;07/04/1989;921 Livingston Road;Gadag;Maybeury;AY;csilvers@yahoo.ca;(503) 968-0854
313;Marques Vazquez;m;18/07/1993;16 N. Hillside St.;Udupi;Lynchburg;RO;thaljef@verizon.net;
314;Antonio Knight;m;12/06/1950;460 Riverside Street;Chitradurga;New Eucha;AR;ahuillet@gmail.com;(976) 877-6359
315;Tristin Wise;m;13/11/1958;735 Grant Court;Belagavi (Belgaum);New Eucha;AR;neuffer@me.com;
316;Danica Carroll;f;01/03/1988;890 Lawrence Avenue;Vijayapura (Bijapur);Maybeury;AY;crobles@yahoo.ca;
317;Aubree Cross;f;16/09/1976;70B Carpenter Street;Koppal;Maybeury;AY;ducasse@outlook.com;
318;Jovanny French;m;07/08/1977;7534 East St.;Bidar;New Eucha;RO;nelson@att.net;(987) 878-4843
319;Ian Deleon;m;13/11/1991;76 Elmwood Street;Shivamogga (Shimoga);New Eucha;AR;mdielmann@att.net;(605) 564-8317
320;Rodolfo Pennington;m;16/04/1952;141 Trout Avenue;Chikballapur;Lynchburg;RO;horrocks@aol.com;(619) 524-2383
321;Lawson Christian;m;12/08/1975;57 Roberts Dr.;Bagalkot;Black Springs;RO;monopole@verizon.net;
322;Jayla Parsons;f;28/10/1949;8352 Theatre St.;Ramanagara;Maybeury;AY;grolschie@verizon.net;(367) 304-7145
323;Leonard Dean;m;05/12/1988;694 Wrangler Ave.;Davangere;New Eucha;AR;cosimo@icloud.com;
324;Denise Mason;f;23/02/1979;176 Crescent St.;Dakshina Kannada;New Eucha;TK;bartak@icloud.com;
325;Kiley Murphy;f;20/08/1953;212 East Pierce Street;Kodagu;New Eucha;TK;valdez@me.com;
326;Abraham Molina;m;08/02/1973;9017 Beacon Street;Bagalkot;Lynchburg;RO;nachbaur@msn.com;(671) 765-9069
327;Katherine Daugherty;f;16/02/1950;8230 Main Lane;Udupi;Maybeury;AY;msroth@att.net;(891) 782-2971
328;Immanuel Benjamin;m;11/06/1966;7078 Rockledge Ave.;Ballari (Bellary);Black Springs;RO;frosal@comcast.net;
329;Rowan Potter;f;02/01/1955;2 North Applegate St.;Ballari (Bellary);Avis;TK;storerm@aol.com;
330;Gordon Mcbride;m;11/09/1947;197 NW. Lakeview St.;Dakshina Kannada;Avis;AY;neuffer@yahoo.ca;(448) 550-5138
331;Julien Potter;m;20/04/1970;455 Colonial Street;Bagalkot;New Eucha;AR;starstuff@optonline.net;
332;Cayden Calderon;m;17/12/1942;290 Bridle Lane;Gadag;Lynchburg;RO;aukjan@hotmail.com;
333;Rhianna Liu;f;01/10/1949;142 Del Monte St.;Koppal;Avis;TK;;
334;Rory Richard;f;28/02/1997;94 Brewery Ave.;Belagavi (Belgaum);Maybeury;AY;munson@verizon.net;(825) 317-5134
335;Willow Hardy;f;20/03/1998;927 Cherry Dr.;Udupi;Maybeury;AY;oevans@msn.com;(669) 932-4514
336;Abdullah Ward;m;16/03/1983;305 West Taylor St.;Dharwad;Black Springs;RO;jadavis@gmail.com;
337;Brennan Molina;m;18/01/1967;450 Jockey Hollow Ave.;Bidar;Black Springs;RO;jonathan@yahoo.com;(982) 908-7505
338;River Henderson;m;05/07/1948;42 Spruce Avenue;Dakshina Kannada;Black Springs;RO;privcan@live.com;
339;Jerimiah Henson;m;04/02/1984;61 Rocky River Court;Raichur;New Eucha;AR;bmidd@yahoo.ca;
340;Adam Madden;m;04/02/1977;312 Beaver Ridge Ave.;Koppal;New Eucha;RO;malvar@gmail.com;
341;Reese Park;f;14/02/1965;9837 Creekside Drive;Koppal;Avis;TK;jlbaumga@mac.com;(269) 381-7273
342;Alfredo Snow;m;28/10/1968;30 Queen Court;Chikballapur;Black Springs;RO;sumdumass@comcast.net;
343;Felix Mason;m;13/06/1958;990 Bayport Circle;Chikballapur;Maybeury;AY;moonlapse@yahoo.ca;(931) 931-8636
344;Zayne Morrison;m;21/09/1966;649 Woodland Court;Koppal;Black Springs;RO;sequin@live.com;
345;Estrella Page;f;17/01/1950;8849 Elizabeth Avenue;Bidar;Avis;NR;dawnsong@att.net;
346;Karter Carpenter;m;08/02/1987;180 Pawnee Lane;Ramanagara;Lynchburg;RO;pontipak@aol.com;
347;Brody Ramirez;m;02/02/1986;25 E. Lookout Street;Davangere;Black Springs;AY;ilial@msn.com;
348;Aspen Huerta;f;24/11/1958;9327 Glen Creek St.;Dharwad;Avis;TK;pdbaby@hotmail.com;(998) 329-9023
349;Malachi Dalton;m;03/10/1958;834 Gates Ave.;Bengaluru (Bangalore) Urban;Lynchburg;RO;tangsh@hotmail.com;(673) 485-9733
350;Zack Underwood;m;04/09/1967;375 Newbridge Court;Haveri;Black Springs;RO;vsprintf@comcast.net;(865) 372-2009
351;Lea Curtis;f;26/08/1992;613 Theatre Street;Vijayapura (Bijapur);Avis;NR;killmenow@comcast.net;
352;Brice Terrell;m;28/09/2000;551 Gonzales St.;Koppal;New Eucha;AR;denism@yahoo.ca;
353;Delaney Khan;f;31/12/1990;9959 La Sierra Street;Haveri;Avis;TK;sagal@verizon.net;
354;Anastasia Dickson;f;24/09/1950;71 South Amherst Drive;Ballari (Bellary);Maybeury;AY;redingtn@live.com;
355;Cedric Hooper;m;14/07/1956;7001 Park Street;Kodagu;Black Springs;RO;;
356;Cristofer Carey;m;30/11/1977;528 Carpenter St.;Tumakuru (Tumkur);New Eucha;AR;ianbuck@verizon.net;
357;Annalise Cochran;f;02/02/1975;8013 NW. 8th St.;Chitradurga;Maybeury;AY;miyop@me.com;(766) 864-8193
358;Sawyer Small;m;26/11/1987;183 Big Rock Cove Ave.;Vijayapura (Bijapur);Avis;AY;heine@comcast.net;(604) 383-8254
359;Immanuel Adkins;m;10/10/1797;81 Cobblestone Ave.;Davangere;Lynchburg;RO;pontipak@msn.com;(356) 333-4010
360;Karly Valenzuela;f;04/09/1965;81 Bay St.;Uttara Kannada (Karwar);Maybeury;AY;rmcfarla@comcast.net;(224) 676-3492
361;Leandro Cain;m;30/04/1942;444 E. Ridgewood Street;Kalaburagi (Gulbarga);New Eucha;AR;temmink@yahoo.com;(262) 759-5748
362;Raul Mcgrath;m;10/02/1966;7983 New St.;Bidar;Lynchburg;RO;ramollin@mac.com;(796) 292-7304
363;Landyn Marsh;m;30/07/1990;888 South Pacific St.;Koppal;Lynchburg;RO;chaki@icloud.com;
364;Lola Bean;f;01/07/1983;526 Arch Lane;Uttara Kannada (Karwar);Avis;NR;aegreene@optonline.net;
365;Alexus Hurley;f;25/10/1989;917 Race Ave.;Bengaluru (Bangalore) Urban;Maybeury;AY;zeller@msn.com;(387) 458-6268
366;Jacey Rogers;f;30/11/1992;7198 Wild Rose Drive;Chamarajanagar;Avis;NR;hermes@yahoo.com;
367;Jaylan Sheppard;m;29/11/1972;7479 Amherst Court;Yadgir;New Eucha;AR;zeitlin@yahoo.com;(337) 864-1267
368;Jair Cole;m;13/10/1951;138 North Wentworth St.;Chikkamagaluru (Chikmagalur);Maybeury;AY;msherr@yahoo.com;(968) 729-8318
369;Barrett Montgomery;m;20/11/2001;6 Parker Road;Tumakuru (Tumkur);Black Springs;RO;reziac@icloud.com;
370;Ronnie Shields;m;10/02/1975;9854 Pennington Court;Tumakuru (Tumkur);Maybeury;AY;mjewell@optonline.net;(359) 350-2029
371;Alonso Carson;m;18/10/1999;7117 Goldfield Ave.;Mysuru (Mysore);New Eucha;AR;itstatus@gmail.com;
372;Kristopher Curry;m;01/05/1963;71 Brook Drive;Hassan;New Eucha;AR;calin@yahoo.ca;
373;Ashly Lee;f;08/09/1993;9487 Riverside Lane;Davangere;Avis;TK;snunez@comcast.net;(692) 918-7590
374;Audrey Mcneil;f;18/11/1955;39 North Ave.;Kalaburagi (Gulbarga);Maybeury;TK;padme@comcast.net;(857) 316-2442
375;Cadence Harris;f;31/10/1995;2 Adams Drive;Vijayapura (Bijapur);Avis;TK;yfreund@mac.com;(619) 238-4523
376;Nataly Washington;f;17/09/1975;7 Lake View Drive;Dharwad;Avis;NR;tkrotchko@hotmail.com;
377;Kyla Hogan;f;09/03/1999;969 Leeton Ridge Ave.;Mysuru (Mysore);Avis;TK;;
378;Helen Yang;f;21/03/2000;8889 Pendergast Drive;Gadag;Avis;NR;mwilson@icloud.com;
379;Natalee Estrada;f;22/03/1997;935 Indian Summer Lane;Kalaburagi (Gulbarga);Avis;TK;gregh@yahoo.com;(339) 663-0649
380;Parker Walters;;29/07/1988;550 East Santa Clara Street;Shivamogga (Shimoga);Avis;NR;samavati@hotmail.com;
381;Kylie Baker;f;05/09/1979;7866 West Acacia Ave.;Udupi;Lynchburg;NR;fhirsch@sbcglobal.net;(697) 236-2502
382;Arabella Aguirre;f;29/03/1960;747 Trout St.;Mandya;Maybeury;AY;kassiesa@hotmail.com;(830) 740-1118
383;Nadia Lindsey;f;18/11/1949;792 Parker Drive;Uttara Kannada (Karwar);Maybeury;AY;grossman@me.com;(997) 994-0841
384;Malakai Kelly;m;07/07/1965;188 Greystone Road;Yadgir;Lynchburg;RO;jemarch@yahoo.ca;
385;Sierra Mcneil;f;25/05/1947;7469 Valley Road;Haveri;Maybeury;AY;ingolfke@aol.com;(289) 676-7763
386;Xavier Cross;m;17/03/1981;8511 Howard St.;Koppal;Lynchburg;RO;corrada@comcast.net;(802) 925-5303
387;Myah Barnes;f;18/10/1950;51 Jockey Hollow Street;Koppal;Maybeury;TK;konst@optonline.net;
388;Tyree Cantu;m;30/04/1989;183 Edgemont Ave.;Koppal;Avis;AY;chrisj@live.com;(985) 736-6508
389;Abel Barajas;m;25/01/1947;37 Belmont Dr.;Bengaluru (Bangalore) Urban;New Eucha;RO;bdthomas@att.net;(851) 900-1053
390;Scott Smith;m;20/09/2001;7920 Taylor Dr.;Shivamogga (Shimoga);New Eucha;AR;sscorpio@sbcglobal.net;(612) 587-2968
391;Hana Smith;f;31/07/1942;505 8th Drive;Chamarajanagar;Maybeury;TK;jacks@outlook.com;
392;Kameron Wilkerson;m;12/07/1948;372 Hilltop Street;Chikkamagaluru (Chikmagalur);New Eucha;RO;parasite@hotmail.com;(981) 836-3496
393;Kolton Baldwin;m;24/04/1959;45 W. Nut Swamp Ave.;Tumakuru (Tumkur);New Eucha;AR;jrkorson@gmail.com;(660) 789-9399
394;Rylee Horn;f;06/03/1992;747 Lafayette Lane;Kodagu;Maybeury;AY;vsprintf@live.com;(929) 700-8903
395;Ivy Pacheco;f;26/07/1954;582 Pilgrim Drive;Koppal;Avis;NR;tfinniga@optonline.net;(201) 782-0678
396;Kamron Buckley;m;30/07/1966;17 West Shirley Dr.;Davangere;Lynchburg;RO;harryh@icloud.com;
397;Janae Patrick;f;09/02/1990;94 Glen Eagles St.;Chikballapur;Maybeury;AY;tbusch@icloud.com;(877) 854-4167
398;Desiree Dyer;f;06/10/1981;8126 Rocky River Rd.;Bagalkot;Lynchburg;NR;klaudon@icloud.com;(708) 200-5961
399;Nicolas Davies;m;15/08/1958;360 Overlook St.;Bagalkot;New Eucha;RO;;
400;Lesly Rasmussen;f;10/11/1944;76 Lafayette Street;Koppal;Maybeury;AY;roamer@aol.com;(650) 822-6280
401;Luis Wells;m;23/08/1970;445 Arcadia Rd.;Kodagu;New Eucha;AR;irving@aol.com;(778) 572-0978
402;Matilda Villa;f;29/01/1950;1 Cross Dr.;Bengaluru (Bangalore) Rural;Avis;TK;keutzer@sbcglobal.net;
403;Fernanda Sanders;f;11/09/1960;641 Tarkiln Hill Street;Bidar;Maybeury;;nasor@live.com;
404;Stephen Strong;m;15/02/2002;87 Ridgeview Ave.;Bagalkot;Lynchburg;RO;firstpr@yahoo.com;(453) 205-3628
405;Gianni Orr;m;02/10/1950;990 Mountainview Road;Chitradurga;Maybeury;AY;devphil@mac.com;(884) 503-0344
406;Jamarion Rivas;m;27/12/1986;8211 4th Rd.;Raichur;Avis;AR;isaacson@mac.com;(624) 322-1827
407;Dillan Cantrell;m;14/06/1994;77 North San Pablo Ave.;Hassan;New Eucha;AR;paley@comcast.net;(742) 222-8004
408;Kale Garza;m;26/07/1884;48 Piper Ave.;Bidar;Black Springs;RO;kewley@sbcglobal.net;(877) 457-9252
409;Dayton Lam;m;27/06/1998;882 West Proctor Street;Belagavi (Belgaum);Lynchburg;RO;loscar@verizon.net;
410;Sterling Higgins;m;13/09/1950;6 Galvin Lane;Yadgir;New Eucha;AR;quantaman@sbcglobal.net;(704) 771-9642
411;Brooke Terry;f;03/03/1977;3 Kirkland Ave.;Koppal;New Eucha;TK;hachi@yahoo.com;
412;Nikhil Shields;m;02/09/1952;3 Walt Whitman Road;Bengaluru (Bangalore) Urban;Black Springs;RO;marin@live.com;
413;Makayla Jefferson;f;09/05/1967;8439 High Ridge Drive;Bengaluru (Bangalore) Rural;Lynchburg;NR;nwiger@aol.com;(737) 472-5561
414;Eden Mcclain;f;05/06/1960;848C East Lantern St.;Hassan;Avis;NR;psichel@sbcglobal.net;(505) 467-8971
415;Vincent Baxter;m;28/06/1948;9099 Bedford Lane;Davangere;Lynchburg;RO;yumpy@yahoo.com;(412) 964-2030
416;Jessica Campos;f;06/10/1978;9334 Pilgrim St.;Kodagu;Maybeury;AY;chaffar@yahoo.ca;(245) 634-5571
417;Damarion Wang;m;25/09/2000;9957 College Ave.;Mandya;Maybeury;AY;steve@me.com;
418;Juan Molina;m;09/05/1952;481 South Bedford Lane;Chikkamagaluru (Chikmagalur);Black Springs;RO;rohitm@mac.com;
419;Ahmed Riley;m;06/12/1976;8453 NE. Grant Street;Bengaluru (Bangalore) Urban;Lynchburg;RO;pfitza@yahoo.com;(983) 676-3138
420;Steve Franklin;m;10/11/1959;79 Ryan Road;Mysuru (Mysore);Lynchburg;RO;bdbrown@sbcglobal.net;(436) 289-3044
421;Luna Fletcher;f;05/04/1970;935 Madison Lane;Kodagu;Avis;TK;;(891) 844-0349
422;Mariyah Patrick;f;19/02/1992;8762 Broad Dr.;Shivamogga (Shimoga);Maybeury;AY;barnett@aol.com;(326) 514-2747
423;Elle Hill;f;24/09/1967;8082 Saxton St.;Kolar;Lynchburg;NR;mbalazin@comcast.net;(559) 577-6499
424;Angelique Escobar;f;19/07/1980;8043 Bellevue St.;Kolar;Maybeury;AY;brickbat@comcast.net;(633) 613-6889
425;Adelyn Lester;f;23/01/1985;741 Penn St.;Bidar;Maybeury;AY;floxy@icloud.com;(438) 500-6229
426;Jamarion Atkins;m;02/06/1967;76 Mechanic Street;Uttara Kannada (Karwar);New Eucha;AR;treit@me.com;(640) 855-6006
427;Kendall Merritt;f;30/07/1997;398 Golf St.;Davangere;Avis;TK;dalamb@att.net;
428;Jaqueline Sutton;f;08/03/1955;95 Bay Meadows Street;Vijayapura (Bijapur);Maybeury;AY;giafly@me.com;(483) 482-6323
429;Miah Wagner;f;16/12/1967;8090 Bridge St.;Ramanagara;Maybeury;AY;kannan@yahoo.com;(709) 257-1338
430;Rachael Friedman;f;30/07/1957;363 Howard St.;Chikkamagaluru (Chikmagalur);Avis;TK;draper@aol.com;
431;Tamara Christensen;f;09/07/1966;22 West Cross Lane;Raichur;New Eucha;TK;yxing@gmail.com;(475) 517-8715
432;Juliet Mckenzie;f;;18 Livingston St.;Chikkamagaluru (Chikmagalur);Avis;TK;jbailie@live.com;(883) 395-2846
433;Chaim Faulkner;m;25/05/1995;808 Bridle Drive;Kolar;New Eucha;AR;maikelnai@me.com;(278) 980-8520
434;Zaire Francis;m;07/01/1971;9134 North Acacia Ave.;Koppal;Lynchburg;RO;qmacro@att.net;(841) 483-2654
435;Lamont Glass;m;17/07/1973;9175 Howard Lane;Chikballapur;Lynchburg;RO;jfriedl@aol.com;(393) 702-0647
436;Averi Bryan;f;10/12/1957;8102 Canal Road;Udupi;Lynchburg;NR;biglou@hotmail.com;(857) 901-7702
437;Tyson Osborne;m;24/05/2000;9072 Philmont St.;Chikkamagaluru (Chikmagalur);Lynchburg;RO;wikinerd@optonline.net;(347) 252-6102
438;Ahmad Preston;m;10/11/2000;343 Manhattan Street;Kolar;Black Springs;RO;ijackson@att.net;
439;Jordyn Gutierrez;f;19/08/2000;53 Bridgeton Street;Bengaluru (Bangalore) Urban;Maybeury;TK;breegster@verizon.net;
440;Catalina Norman;;04/03/1942;126 N. Railroad St.;Dakshina Kannada;Avis;TK;jandrese@mac.com;
441;Kristen Mitchell;f;24/12/1954;8626 Brookside Avenue;Gadag;Avis;NR;guialbu@optonline.net;(318) 575-0234
